URL,Content creator,Username,Date added,Ads in Live,Facebook Page followers,Language,Blue verification,Videos published in the last 7 days,Median views per video (28 days)
www.facebook.com/903995172984065,Mariano De La Canal,marianodelacanaloficial,2023-08-02,no,298730,Spanish,yes,0,0
www.facebook.com/90540053556,Anel Rodriguez,Anel.Monterrey,2020-09-16,no,1887918,Spanish,yes,0,0
www.facebook.com/905519129509010,RealShit,RealShitVideos,2023-06-03,yes,4311086,Hindi,yes,0,0
www.facebook.com/9061973615,Diana Gordon,DianaGordon,2022-08-28,no,180468,English,yes,0,0
www.facebook.com/906563129681354,Ney Matogrosso,neymatogrosso.oficial,2022-09-02,no,35871,Portuguese,yes,0,0
www.facebook.com/90660953322,AIRNADETTE,airnadette,2022-11-02,no,494872,French,yes,0,0
www.facebook.com/907534255936631,Rico Huang,RicoHuangAlona,2019-08-15,no,609883,Indonesian,yes,0,0
www.facebook.com/908126652572069,Tastemade China,tastemadechina,2023-05-26,no,212962,Chinese,yes,0,0
www.facebook.com/908206172593783,Shikha Malhotra,ShikhaMalhotraOfficial,2023-07-24,no,33891,English,yes,0,0
www.facebook.com/9084801284,Pet Shop Boys,petshopboys,2021-03-11,no,1745859,English,yes,0,0
www.facebook.com/908682865829411,Jarryd James,JarrydJamesMusic,2022-02-20,no,39903,English,yes,0,0
www.facebook.com/908769979316228,เจ้าป่าเข้าเมือง,,2023-04-23,no,683957,Thai,yes,0,0
www.facebook.com/90893081682,CinemaBlend,cinemablendnews,2023-05-08,no,2311569,English,yes,0,0
www.facebook.com/909228469246533,The Murder Capital,MurdrCapitalBand,2023-05-29,no,24839,English,yes,0,0
www.facebook.com/909640849156725,SHAED,shaedband,2022-08-04,no,76331,English,yes,0,0
www.facebook.com/90970343339,Dr. Ricky Dillard,RickyDillardMusic,2020-11-18,no,439462,English,yes,0,0
www.facebook.com/91042107403,Easton Corbin,eastoncorbin,2023-04-22,no,1265874,English,yes,0,0
www.facebook.com/911507285848849,Honey Boo Boo,RealHoneyBooBoo,2020-04-17,no,305847,English,yes,0,0
www.facebook.com/912131365621348,WSL Live,wsllive,2019-01-14,yes,620221,English,yes,0,0
www.facebook.com/912274352202712,The Daily Caller Politics,TheDCPolitics,2017-10-07,no,256158,English,yes,0,0
www.facebook.com/913096302088961,Santiago Arroyo,SantiagoArroyoOficial,2023-04-22,no,829880,Spanish,yes,0,0
www.facebook.com/913489048727725,Gabriella Vico - Health & Fitness Expert,gabry.vico,2023-04-18,no,252810,Italian,yes,0,0
www.facebook.com/914102058726195,Superorganism,SPRORGNSM,2023-04-05,no,48899,English,yes,0,0
www.facebook.com/914149588635719,Sebastian Marx,sebastianmarxcomedian,2023-04-22,no,269794,French,yes,0,0
www.facebook.com/916089581857408,Lola Kirke,LolaKirke,2023-05-24,no,50646,English,yes,0,0
www.facebook.com/91676641769,Kim Walker-Smith,kimwalkersmithmusic,2020-11-18,no,1151172,English,yes,0,0
www.facebook.com/91686597689,NBC DFW,NBCDFW,2023-08-02,no,958511,English,yes,0,0
www.facebook.com/917099451694033,MEAWW,meawwcom,2023-02-28,no,11237741,English,yes,0,0
www.facebook.com/9172042123,Gotye,gotye,2023-04-22,no,1828824,English,yes,0,0
www.facebook.com/91796800959,Omawumi,omawumipage,2022-10-29,no,610301,English,yes,0,0
www.facebook.com/918669578254296,Hayatımın Aşkı,HayatiminAskiKanalD,2020-06-08,no,6597,Turkish,yes,0,0
www.facebook.com/919306868146361,Gabriela Gomes,gabrielagomesbr,2020-11-18,no,853290,Portuguese,yes,0,0
www.facebook.com/9193179986,Inside Gaming,InsideGaming,2020-11-19,no,3021046,English,yes,0,0
www.facebook.com/919716694773836,NIGHTLY,thisisNIGHTLY,2021-02-07,no,9819,English,yes,0,0
www.facebook.com/920193431386456,C Channel,cchannel.english,2023-04-23,no,12506197,English,yes,0,0
www.facebook.com/920299434722425,Karachi Kings,KarachiKingsARY,2023-07-30,no,1948098,English,yes,0,0
www.facebook.com/9216627673,WAMA,WAMABAND,2023-06-29,no,4269199,Arabic,yes,0,0
www.facebook.com/92252229877,Crufts,Crufts,2023-04-23,no,1656631,English,yes,0,0
www.facebook.com/92304305160,Will Smith,WillSmith,2020-11-07,no,116577586,English,yes,0,0
www.facebook.com/923119981039203,造型氣球柯男,BalloonMale,2023-04-23,no,27783,Chinese,yes,0,0
www.facebook.com/923377141143653,Space Crafts,SeekerSpaceCrafts,2017-11-12,no,304715,English,yes,0,0
www.facebook.com/923729614468029,Hulvey,hulveyofficial,2022-09-02,no,15348,English,yes,0,0
www.facebook.com/92376343177,DJ TONY TOUCH,RealTonyTouch,2023-04-23,no,170767,English,yes,0,0
www.facebook.com/923796394314545,المصري لايت,AlMasryLite,2022-01-07,no,724276,Arabic,yes,0,0
www.facebook.com/924269634411046,The Zoom Studios,thezoomstudios,2023-05-30,no,627929,English,yes,0,0
www.facebook.com/924773787602172,Menna Shalaby منة شلبي,officialmennashalaby,2023-04-15,no,5219521,Arabic,yes,0,0
www.facebook.com/92535582595,Ben l’Oncle Soul,BenlOncleSoul,2021-02-07,no,285356,French,yes,0,0
www.facebook.com/925588167471800,Mark Dohner,markdohner,2023-01-24,no,1638784,English,yes,0,0
www.facebook.com/92568358276,Ustad Rashid Khan,ustadrashidkhan,2023-04-16,no,109454,English,yes,0,0
www.facebook.com/92610863398,TeenVogue ItGirls,teenvogueitgirls,2019-05-08,no,158900,English,yes,0,0
www.facebook.com/926288427412375,Sandeep Deswal,sandeepdeswalofficial,2023-07-11,yes,85498,Hindi,yes,0,0
www.facebook.com/926337824100843,Polifacetico,Polifaceticoo,2018-10-05,no,1216312,Spanish,yes,0,0
www.facebook.com/926387487383566,Impacto Sinaloense,ImpactoSina,2023-04-22,no,173532,Spanish,yes,0,0
www.facebook.com/92640840250,Kari Jobe,KariJobe,2020-11-18,no,2624394,English,yes,0,0
www.facebook.com/926428214077382,FloHoops,FloHoops,2018-09-08,no,21860,English,yes,0,0
www.facebook.com/926518107448560,Bisayang Hilaw,bisayanghilaw,2022-05-09,no,2455932,English,yes,0,0
www.facebook.com/927809933968663,The China Project,thechinaprojectnews,2023-07-30,no,99299,English,yes,0,0
www.facebook.com/928204270675113,Five Points,fivepoints,2020-07-31,no,519499,English,yes,0,0
www.facebook.com/92836784102,Newschoolers,ns.newschoolers,2018-12-03,no,203258,English,yes,0,0
www.facebook.com/929110507188752,FitMuscle TV,fitmuscleTV,2019-08-16,no,151534,English,yes,0,0
www.facebook.com/92957956713,蕭煌奇,RickyHsiao,2023-04-22,no,245451,Chinese,yes,0,0
www.facebook.com/929641460453946,Indu Nagaraj,InduNagarajofficial,2023-02-20,no,79578,English,yes,0,0
www.facebook.com/929720770436158,Jamie Mathias,jamiemathiasmusicc,2021-11-26,no,82495,English,yes,0,0
www.facebook.com/9297377479,Nigella Lawson,NigellaLawson,2020-03-30,no,2245737,English,yes,1,0
www.facebook.com/9297549426,Eddie Della Siepe,EddieDellaSiepeFanpage,2023-08-02,no,51207,English,yes,0,0
www.facebook.com/9297927892,My Chemical Romance,MyChemicalRomance,2022-10-02,no,10647289,English,yes,0,0
www.facebook.com/929845717038628,TÔ SOLTO,tosoltooficial,2023-06-19,no,2672076,Portuguese,yes,0,0
www.facebook.com/93042650789,R2BEES,,2022-09-04,no,862767,English,yes,0,0
www.facebook.com/932071200144437,AlexanderWTF,AlexanderWTFOficial,2023-04-23,no,44446,Spanish,yes,0,0
www.facebook.com/93211205814,Marilyn Manson,MarilynManson,2020-11-18,no,6867584,English,yes,0,0
www.facebook.com/932903660053612,Thỏ Bảy Màu,ThoBayMau,2023-01-24,no,4321297,Vietnamese,yes,0,0
www.facebook.com/93370660007,Ratones Paranoicos,ratonesparanoicos,2023-04-23,no,74891,Spanish,yes,0,0
www.facebook.com/935058233201486,Georg Stengel,georgstengelofficial,2023-04-22,no,95498,German,yes,0,0
www.facebook.com/935777586444727,Madras Meter,madrasmeter,2018-11-30,no,315319,English,yes,0,0
www.facebook.com/935923396534917,Archana Chandhoke,ArchanaChandhokeOfficial,2022-06-01,no,1220418,English,yes,0,0
www.facebook.com/93596726974,"Ariel, Zoey & Eli",ArielZoeyandEli,2018-09-16,no,3352316,English,yes,0,0
www.facebook.com/936212893087856,Marina Cars,marinacarshumour,2023-05-30,no,650088,French,yes,0,0
www.facebook.com/936407909793536,Nureldin bosheha,NureldinNSalehAli,2021-01-29,no,143295,Arabic,yes,0,0
www.facebook.com/936794186429102,Cathy Kelley,CatherineKelley,2023-07-26,no,210084,English,yes,0,0
www.facebook.com/936827663007235,EMON KHAN,EmonKhanOfficial,2023-06-01,no,901460,Bengali,yes,0,0
www.facebook.com/936849453094788,Emmanuel Pacquiao Jr.,JimuelPacquiao,2020-01-30,no,708258,English,yes,0,0
www.facebook.com/937262959723134,Limberlost Music,limberlost,2023-04-23,no,63707,English,yes,0,0
www.facebook.com/93764578629,DOG The Bounty Hunter on TV,dogthebountyhunter,2023-07-26,no,1769653,English,yes,0,0
www.facebook.com/937951692947328,VICELAND,VICELANDca,2018-02-06,no,3028327,English,yes,0,0
www.facebook.com/93922985344,Carminho,CarminhoMusic,2022-08-08,no,397921,Portuguese,yes,0,0
www.facebook.com/93994186393,Drop Dead Diva,dropdeaddiva,2023-04-22,no,697341,English,yes,0,0
www.facebook.com/94018172953,Morning Express with Robin Meade,MorningExpressHLN,2023-04-22,no,1163478,English,yes,0,0
www.facebook.com/940586222656989,FloCombat,FloCombat,2018-09-08,no,105302,English,yes,0,0
www.facebook.com/940736815967977,Cumhuriyet Yaşam,cumhuriyetgaz,2021-12-09,no,47616,Turkish,yes,0,0
www.facebook.com/9410874201,Rhett Akins,RhettAkins,2021-02-07,no,542633,English,yes,0,0
www.facebook.com/9411551358,Carlos Santana,carlossantana,2021-03-15,no,7842405,English,yes,0,0
www.facebook.com/94171803428,Furious Pete,furiouspete,2018-10-30,no,1017046,English,yes,0,0
www.facebook.com/942225715833787,Aya Nakamura,Ayanakamuraa93,2021-02-07,no,6300829,French,yes,0,0
www.facebook.com/94288287117,Univision Seattle,UnivisionSeattle,2023-04-23,no,64133,Spanish,yes,0,0
www.facebook.com/943631269016696,Kirsten Corley,KirstenOCorley17,2022-04-10,no,162156,English,yes,0,0
www.facebook.com/943998399006117,Esteban Martínez,estebanshow13,2023-04-03,yes,597196,Spanish,yes,0,0
www.facebook.com/944293578965387,Jatinder Dhiman,jatinderdhimanmusic,2023-04-22,no,318019,English,yes,0,0
www.facebook.com/944362615582186,The Four Brasil,agrandeconquista,2017-10-07,no,468475,Portuguese,yes,0,0
www.facebook.com/94532772898,Verse Simmonds,likeversesimmonds,2022-09-02,no,124181,English,yes,0,0
www.facebook.com/94546000807,ComedyJuice,ComedyJuice,2023-04-23,no,294229,English,yes,0,0
www.facebook.com/945557972146233,Zumbo's Just Desserts,JustDessertsAU,2019-05-10,no,121655,English,yes,0,0
www.facebook.com/945628635471738,Paul Guerra,paulguerraTV,2020-06-13,no,83197,Spanish,yes,4,0
www.facebook.com/946368578736082,Adbhutam,adbhutammusic,2021-10-05,no,29491,English,yes,0,0
www.facebook.com/946643882083328,Coach Rock,coachrocky1,2020-08-31,no,806242,English,yes,0,0
www.facebook.com/947098678762073,Momsplained by Scary Mommy,momsplained.byscarymommy,2018-05-16,no,105969,English,yes,0,0
www.facebook.com/94724837471,Hollywood Life,HollywoodLife,2017-12-12,no,5376496,English,yes,0,0
www.facebook.com/947456968676841,India Today Tech,indiatodaytech,2018-11-30,no,373911,English,yes,0,0
www.facebook.com/94797763491,DeafNation,deafnation,2020-05-04,no,169583,English,yes,0,0
www.facebook.com/94901030635,Marc Lavoine,MarcLavoineOfficiel,2023-04-05,no,436769,French,yes,0,0
www.facebook.com/94922660679,Twin Shadow,twnshdw,2021-02-07,no,114346,English,yes,0,0
www.facebook.com/949250675134985,Magnet,Magnet,2023-04-23,no,1067182,Spanish,yes,0,0
www.facebook.com/95014116742,Allu Arjun,AlluArjun,2018-12-16,no,21279187,English,yes,0,0
www.facebook.com/950243115009441,Yo Soy Roki,YoSoyRoki,2023-04-26,yes,6558048,Spanish,yes,0,0
www.facebook.com/951393544964406,Shemaroo Ibaadat,ShemarooIbaadat,2019-01-15,no,111765,Hindi,yes,0,0
www.facebook.com/951924844863322,Andres Zurita,AndymtZurita,2023-01-10,no,438254,Spanish,yes,0,0
www.facebook.com/952022694862405,Shellanin,Shellanin,2022-10-31,no,110818,English,yes,0,0
www.facebook.com/9549315029,Biffy Clyro,biffyclyro,2020-11-18,no,853386,English,yes,0,0
www.facebook.com/9561323098,Dan Marciano,DanMarcianoOfficial,2021-11-09,no,10456,English,yes,0,0
www.facebook.com/9562133189,Dana Fuchs,danafuchsverified,2023-01-24,no,98522,English,yes,0,0
www.facebook.com/9567321140,Chiodos,chiodos,2023-04-24,no,592460,English,yes,0,0
www.facebook.com/957189910971681,Chantel Collado,chantelcolladoficial,2023-05-29,no,7044,Spanish,yes,0,0
www.facebook.com/957251801009524,Parveen Bharta,Parveen.Bharta,2021-04-03,no,628597,Hindi,yes,0,0
www.facebook.com/957419010974677,Yo Camaleón,yocamaleon,2023-03-11,no,3667,Spanish,yes,0,0
www.facebook.com/958315537599295,Fatou Guinea,Fatouguinea,2023-04-23,no,637265,French,yes,0,0
www.facebook.com/9583477694,Adryenn Ashley,AdryennAshley,2022-04-25,yes,82958,English,yes,0,0
www.facebook.com/958368867574944,Served Like A Girl,dropandgiveme20film,2022-07-25,yes,14675,English,yes,0,0
www.facebook.com/9587275468,Anthrax,anthrax,2020-11-18,no,2528556,English,yes,0,0
www.facebook.com/959018690963911,LexiVee,LexiVee03,2023-04-23,no,916938,English,yes,0,0
www.facebook.com/960028424088220,Tarequzzaman Rajib,TZRazibOfficial,2023-08-02,no,73892,English,yes,0,0
www.facebook.com/960213827344448,Joaquín Castellano,joaquincastellanoactor,2022-12-29,no,710714,Spanish,yes,0,0
www.facebook.com/960380227344600,MNL48,mnl48official,2021-06-09,no,1306785,English,yes,0,0
www.facebook.com/96055580010,360 CHICAGO,360chicago,2021-05-02,no,413983,English,yes,0,0
www.facebook.com/961065217242674,JP Sears,awakenwithjp,2021-06-10,no,3040598,English,yes,0,0
www.facebook.com/961666657256826,C Channel,cchannel.thailand,2021-11-16,no,12407404,Thai,yes,0,0
www.facebook.com/962005207153376,VICE Canada,vicecanada,2023-04-23,no,880673,English,yes,0,0
www.facebook.com/96215642392,ATTILA,AttilaGA,2021-04-14,no,658541,English,yes,0,0
www.facebook.com/962550493820340,Genitallica,genitallicamx,2022-04-02,no,165051,Spanish,yes,0,0
www.facebook.com/964917883581031,Camino,camino,2023-04-30,no,5054,Vietnamese,yes,0,0
www.facebook.com/9653013547,Aladdin,DisneyAladdin,2023-04-23,no,7559333,English,yes,0,0
www.facebook.com/965331776938203,Cinta Kuya,cintakuyaofficial,2020-01-30,no,2218843,Indonesian,yes,0,0
www.facebook.com/96545215465,The Little Couple,TheLittleCouple,2020-07-31,no,2026814,English,yes,0,0
www.facebook.com/96557069470,Apocalyptica,Apocalyptica,2023-04-05,no,2677713,English,yes,0,0
www.facebook.com/96569389636,Tercer Cielo,TercerCieloOfficial,2022-08-08,no,22211441,Spanish,yes,0,0
www.facebook.com/966063370126414,Saral Jeevan,SaralJeevanChannel,2021-11-30,no,474523,Kannada,yes,0,0
www.facebook.com/967139316689290,Danna Paola,DannaPaola,2020-11-18,no,8123940,Spanish,yes,0,0
www.facebook.com/96741823847,Rumer,rumerofficial,2023-04-23,no,79657,English,yes,0,0
www.facebook.com/9676815399,Working Mother,working.mother,2019-11-22,no,334718,English,yes,0,0
www.facebook.com/96787126667,Disney Alice,DisneyAlice,2023-04-23,no,12834904,English,yes,0,0
www.facebook.com/96788864561,Scott Herman,ScottHermanFitness,2023-06-01,no,628807,English,yes,0,0
www.facebook.com/968396013188188,ETtech,EconomicTimesTech,2018-11-10,no,6167,English,yes,0,0
www.facebook.com/968435743189664,Comune Di Caprarola Informa,comunedicaprarola.informa,2023-04-23,no,16903,Italian,yes,0,0
www.facebook.com/969284163109916,ChuBoi,chuboififa,2022-09-29,yes,39111,English,yes,0,0
www.facebook.com/969444166410405,SPIEGEL Start,spiegelstart,2018-12-08,no,237951,German,yes,0,0
www.facebook.com/969523189858662,Soge Culebra,sogeculebraoficial,2021-04-03,no,22458,Spanish,yes,0,0
www.facebook.com/96981971171,Jennette McCurdy,jennettemccurdy,2019-09-23,no,15048773,English,yes,0,0
www.facebook.com/969864586374870,Karen X,iamkarenx,2018-12-05,no,178252,English,yes,0,0
www.facebook.com/9699984275,Aimee Mann,AimeeMann,2022-12-25,no,156020,English,yes,0,0
www.facebook.com/970665683119186,عالم سهام للتجميل,3alamsiham.beauty,2023-06-07,no,9802126,Arabic,yes,0,0
www.facebook.com/9724647385,Domino Saints,dominosaints,2021-02-07,no,170198,Spanish,yes,0,0
www.facebook.com/97260852546,Arika Sato,ArikaSato,2023-07-11,no,4354948,English,yes,0,0
www.facebook.com/972733189465908,Rehaa Khann,rehaakhannactor,2021-04-30,no,146638,English,yes,0,0
www.facebook.com/9727454955,Fireflight,fireflightrock,2022-05-06,no,387583,English,yes,0,0
