URL,Content creator,Username,Date added,Facebook Page followers,Language,Blue verification,Videos published in the last 7 days,Median views per video (28 days)
https://www.facebook.com/208122072539368,Nickelodeon,NickelodeonUK,2023-06-26,28506644,English,yes,3,11890
https://www.facebook.com/254307648319573,Beauty Studio,BeautyStudio.KeliNetwork,2023-07-21,28303667,English,yes,2,64589
https://www.facebook.com/153808061303123,ABP News,abpnews,2023-07-13,28261990,Hindi,yes,19,7320
https://www.facebook.com/135093393232756,Nickelodeon,NickelodeonAustralia,2023-04-29,28082329,English,yes,7,6844
https://www.facebook.com/104783256235686,MBC1,mbc1tv,2023-03-09,27945471,Arabic,yes,91,4813
https://www.facebook.com/147054831936,AC Milan,ACMilan,2023-07-21,27658318,Italian,yes,24,68308
https://www.facebook.com/249952272128670,Marian Rivera,MarianRivera,2023-03-09,27572553,English,yes,12,188657
https://www.facebook.com/104220722929,Nickelodeon,nickelodeonfrance,2023-07-24,27468189,French,yes,7,3524
https://www.facebook.com/133880733349264,اليوم السابع,Youm7,2023-03-09,27413883,Arabic,yes,9,5885
https://www.facebook.com/148393515248368,Eugenio Derbez,EugenioDerbezTV,2023-03-09,27180431,Spanish,yes,1,8783120
https://www.facebook.com/541498205904855,Tiger Shroff,TigerShroff,2023-03-09,27046194,English,yes,3,1491231
https://www.facebook.com/222650577774965,CBC Egypt,CBCEgypt,2023-06-12,26411723,Arabic,yes,41,12911
https://www.facebook.com/173787306353701,Escritos,Escritos,2023-04-16,26202845,Spanish,yes,0,0
https://www.facebook.com/112905748806596,FailArmy,failarmy,2023-07-21,25835855,English,yes,19,459225
https://www.facebook.com/248007725318641,Luisito Comunica,LuisitoComunica,2023-06-15,25455528,Spanish,yes,6,320449
https://www.facebook.com/305140869535098,People Are Awesome,peopleareawesome,2023-03-09,25080573,English,yes,8,57182
https://www.facebook.com/122338327152,Angel Locsin,AngelLocsin,2023-07-21,24830059,English,yes,1,381202
https://www.facebook.com/192736251204447,Cookist Wow,CookistWow,2023-03-09,24291300,English,yes,4,28201
https://www.facebook.com/162885097834,kiwilimón,kiwilimon,2023-03-09,24121203,Spanish,yes,21,38382
https://www.facebook.com/388339914658185,Niana Guerrero,nianaguerrero,2023-03-09,24019870,English,yes,1,990273
https://www.facebook.com/777085889092042,El Guarromántico,ElGuarromantico,2023-06-01,23873362,Spanish,yes,0,0
https://www.facebook.com/138710736331,Workpoint Entertainment,workpoint,2023-03-09,23853779,Thai,yes,24,0
https://www.facebook.com/27254475167,ABS-CBN News,abscbnNEWS,2023-03-09,23778545,Tagalog,yes,3,9857
https://www.facebook.com/1766497083631737,CuriosoBen,CuriosoBenOficial,2023-07-21,23472365,Spanish,yes,8,46789
https://www.facebook.com/6604386669,Mercedes-Benz,MercedesBenz,2023-06-16,23085467,English,yes,5,10960
https://www.facebook.com/291729159657,WEREVERTUMORRO,werevertumorro,2023-06-16,23040597,Spanish,yes,4,43838
https://www.facebook.com/63330679078,Kajal Aggarwal,ImKajalAggarwal,2023-03-09,22791892,English,yes,0,0
https://www.facebook.com/984867691573744,Oh My Goal,OhMyGoal.KeliNetwork,2023-07-21,22762432,English,yes,3,97567
https://www.facebook.com/19717739728,Thalia,Thalia,2023-03-09,22718656,Spanish,yes,1,57112
https://www.facebook.com/131197693565327,Talking Tom,TalkingTom,2023-04-03,22657495,English,yes,0,0
https://www.facebook.com/164305410295882,Daily Mail,DailyMail,2023-06-26,22526276,English,yes,12,13392
https://www.facebook.com/1272480059489124,Goodful,officialgoodful,2023-07-21,22518373,English,yes,3,19078
https://www.facebook.com/1072039129479100,nametests.com English,,2023-03-28,22510129,English,yes,0,0
https://www.facebook.com/491452930867938,BuzzFeed Food,BuzzFeedFood,2023-07-08,22460429,English,yes,0,0
https://www.facebook.com/113418486477,MTV Brasil,MTVBrasil,2023-03-09,22345967,Portuguese,yes,11,2795
https://www.facebook.com/41937927436,Delish,delish,2023-07-21,22331521,English,yes,8,29717
https://www.facebook.com/144917055340,Los Angeles Lakers,losangeleslakers,2023-07-21,22183910,English,yes,0,142177
https://www.facebook.com/320959235680,DEMIC,jerseydemic,2023-03-09,22138421,English,yes,29,22751
https://www.facebook.com/165410476802426,ON,ONtv,2023-03-09,21971783,Arabic,yes,69,7821
https://www.facebook.com/1696610220574395,MetDaan Makeup,MetDaanMakeup,2023-06-12,21861036,English,yes,7,32241
https://www.facebook.com/33887045472,Undertaker,undertaker,2023-03-09,21731057,English,yes,0,0
https://www.facebook.com/150253531687373,أخبار الآن - Akhbar Al Aan,akhbaralaan,2023-07-21,21726335,Arabic,yes,12,3761
https://www.facebook.com/10646929759,America's Got Talent,agt,2023-06-15,21507531,English,yes,0,0
https://www.facebook.com/128198120596369,Al Nahar,alnahareg,2023-03-09,21090559,Arabic,yes,11,32075
https://www.facebook.com/633723256773474,Mario Aguilar,marioaguilarmg,2022-12-23,20784841,Spanish,yes,13,47952
https://www.facebook.com/115894125124795,Eat Bulaga,EBdabarkads,2023-07-21,20700227,Tagalog,yes,0,0
https://www.facebook.com/126514444043338,MBC2,mbc2tv,2023-03-09,20692636,Arabic,yes,4,5283
https://www.facebook.com/154180304652867,YAN News,yannews,2023-06-26,20634226,Vietnamese,yes,36,63267
https://www.facebook.com/112262085485514,MBC4,mbc4tv,2023-03-09,20474089,Arabic,yes,41,9750
https://www.facebook.com/253460465360482,Pongamoslo A Prueba,Pongamosloaprueba,2023-03-09,20416073,Spanish,yes,1,2191892
https://www.facebook.com/415433981845249,Fábio Teruel,fabio.teruel,2023-07-21,20347688,Portuguese,yes,40,0
https://www.facebook.com/163059227060505,Prothom Alo,DailyProthomAlo,2023-07-13,19918595,Bengali,yes,15,8687
https://www.facebook.com/129558990394402,Khaosod - ข่าวสด,khaosod,2023-03-09,19678505,Thai,yes,14,25526
https://www.facebook.com/77018529522,Womenworking.com,womenworking,2023-03-28,19597661,English,yes,9,6341
https://www.facebook.com/68680511262,NFL,NFL,2023-07-21,19569265,English,yes,17,100653
