"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status",Comment,Date,"60-Second Video Views",Likes,Shares,Comments,Engagements,"Seconds Viewed","People Reached",Impressions,"Article Average Time Spent","Article Daily Scroll Depth","Total clicks","Average Seconds Viewed","3-Second Video Views","Other Clicks"
773110988157717,557217247994915,"Pokdi’s TV","Crazy Dog","Avoid those bees that will send you money! I have already withdrawn $300, enter my invitation code ID: 23902966, earn money faster!https://23902966.g1ocl.xyz/invite_5.html?id=23902966",0,"08/25/2023 19:08",N/A,https://www.facebook.com/pokdisTv/posts/pfbid032pAcXJKk1VHAavi3AcVSgkVd8f87DEyxM485FMcoJ4wyErtYbnk7L854BCNKfnUXl,0,0,Link,,,,,Lifetime,0,0,0,0,0,0,6,7,0,0,0,0,0,
773201251482024,557217247994915,"Pokdi’s TV","LIVE: It's Showtime | AUGUST 26, 2023",,12108,"08/25/2023 22:08",N/A,https://www.facebook.com/pokdisTv/posts/pfbid02vgFUXa18cYFoaCor99B6uZv87RdTn7dZ83ZaTB6yjH5tbDqaLJjgTQ3pWeNxdDVVl,0,1,"Live video",,,,,Lifetime,1,0,0,0,0,0,8,9,0,0,4,0,2,4
778956364239846,557217247994915,"Pokdi’s TV",,,0,"09/03/2023 22:09",N/A,https://www.facebook.com/pokdisTv/posts/pfbid0GctzBhqdgMgu8KadCTUa4XeP8UrYR6qxmrAKcJtct4aeNucwUrZu1UaWALVNLi1El,0,0,Photo,,,,,Lifetime,0,2,0,0,2,0,43,50,0,0,1,0,0,1
771035038365312,557217247994915,"Pokdi’s TV","realme Philippines | realme Smartphone | Official Store",,0,"08/22/2023 18:08",N/A,https://www.facebook.com/pokdisTv/posts/pfbid02xQWHNrVLhJBjDAErcBkmdFgedstJzzEGp41jRw8g7GthyxDDVkfnf4URFFe3obeAl,0,0,Link,,,,,Lifetime,0,2,0,0,2,0,7,8,0,0,0,0,0,
